@RELATION bitcoin_association

@ATTRIBUTE price_level {very_low,low,medium,high,very_high}
@ATTRIBUTE volume_level {low,medium,high}
@ATTRIBUTE ma_cross {golden,dead,neutral}
@ATTRIBUTE rsi_signal {overbought,oversold,neutral}
@ATTRIBUTE volume_spike {high,normal,low}
@ATTRIBUTE price_direction {UP,DOWN,STABLE}

@DATA
very_high,low,neutral,neutral,normal,STABLE
very_high,low,neutral,neutral,normal,UP
very_high,medium,neutral,neutral,normal,STABLE
very_high,medium,neutral,neutral,normal,STABLE
very_high,low,neutral,neutral,normal,STABLE
very_high,medium,neutral,neutral,normal,STABLE
very_high,medium,neutral,neutral,normal,UP
very_high,medium,neutral,neutral,normal,UP
very_high,medium,neutral,neutral,normal,STABLE
very_high,medium,neutral,neutral,normal,STABLE
very_high,medium,neutral,neutral,normal,DOWN
very_high,medium,neutral,neutral,normal,STABLE
very_high,medium,neutral,neutral,normal,STABLE
very_high,low,neutral,neutral,normal,STABLE
very_high,low,neutral,neutral,normal,DOWN
very_high,medium,neutral,neutral,normal,UP
very_high,medium,neutral,neutral,normal,DOWN
very_high,medium,neutral,neutral,normal,DOWN
very_high,medium,neutral,neutral,normal,DOWN
very_high,medium,neutral,neutral,normal,DOWN
very_high,high,dead,oversold,high,UP
very_high,medium,dead,oversold,normal,STABLE
very_high,high,dead,oversold,high,UP
very_high,medium,dead,neutral,normal,UP
very_high,medium,dead,neutral,normal,DOWN
very_high,medium,dead,neutral,normal,DOWN
very_high,high,dead,neutral,normal,STABLE
very_high,medium,dead,neutral,normal,UP
very_high,medium,dead,neutral,normal,DOWN
very_high,medium,dead,neutral,normal,DOWN
very_high,high,dead,neutral,high,DOWN
very_high,high,dead,oversold,high,STABLE
very_high,high,dead,oversold,high,STABLE
very_high,high,dead,oversold,normal,STABLE
very_high,medium,dead,neutral,normal,DOWN
very_high,medium,dead,oversold,normal,DOWN
very_high,medium,dead,oversold,normal,DOWN
high,high,dead,oversold,high,DOWN
high,high,dead,oversold,high,STABLE
high,high,dead,oversold,normal,UP
very_high,high,dead,neutral,normal,UP
very_high,high,dead,neutral,normal,STABLE
very_high,medium,dead,neutral,low,DOWN
high,medium,dead,neutral,low,DOWN
high,medium,dead,neutral,low,UP
high,medium,dead,neutral,low,DOWN
medium,medium,dead,neutral,normal,UP
high,medium,dead,neutral,low,STABLE
high,medium,dead,neutral,low,DOWN
medium,high,dead,neutral,normal,UP
high,high,dead,neutral,normal,UP
high,medium,dead,neutral,normal,UP
high,medium,dead,neutral,normal,STABLE
high,medium,dead,neutral,normal,STABLE
high,medium,golden,neutral,low,STABLE
high,low,golden,neutral,low,STABLE
high,medium,golden,neutral,low,STABLE
high,low,golden,neutral,low,DOWN
high,medium,golden,neutral,normal,STABLE
high,low,dead,neutral,low,STABLE
high,low,dead,neutral,low,STABLE
high,low,dead,neutral,low,STABLE
high,medium,dead,neutral,normal,UP
high,medium,dead,neutral,normal,STABLE
high,low,dead,neutral,low,STABLE
high,low,golden,neutral,low,STABLE
high,low,golden,neutral,low,STABLE
high,low,golden,neutral,low,STABLE
high,low,golden,neutral,low,STABLE
high,low,dead,neutral,low,DOWN
high,medium,dead,neutral,normal,STABLE
high,low,dead,neutral,normal,STABLE
high,low,dead,neutral,normal,STABLE
high,low,dead,neutral,normal,STABLE
high,medium,dead,neutral,normal,DOWN
medium,medium,dead,neutral,high,UP
high,medium,dead,neutral,normal,STABLE
high,low,dead,neutral,normal,STABLE
medium,low,dead,neutral,normal,STABLE
high,low,dead,neutral,normal,STABLE
medium,low,dead,neutral,normal,STABLE
high,low,dead,neutral,normal,STABLE
high,low,dead,neutral,normal,UP
high,low,dead,neutral,normal,STABLE
high,low,dead,neutral,normal,DOWN
medium,medium,dead,neutral,high,STABLE
medium,medium,golden,neutral,normal,DOWN
medium,medium,dead,neutral,high,STABLE
medium,medium,dead,neutral,high,DOWN
medium,medium,dead,neutral,high,DOWN
medium,high,dead,neutral,high,STABLE
medium,medium,dead,neutral,normal,DOWN
medium,medium,dead,oversold,normal,DOWN
medium,medium,dead,oversold,normal,STABLE
medium,medium,dead,oversold,normal,DOWN
medium,high,dead,oversold,high,UP
medium,high,dead,oversold,high,STABLE
medium,high,dead,oversold,normal,UP
medium,high,dead,neutral,normal,DOWN
medium,medium,dead,neutral,normal,STABLE
medium,medium,dead,neutral,normal,UP
medium,medium,dead,neutral,normal,DOWN
medium,medium,dead,neutral,low,STABLE
medium,medium,dead,neutral,low,STABLE
medium,medium,dead,neutral,low,UP
medium,medium,golden,neutral,normal,STABLE
medium,medium,golden,neutral,low,STABLE
medium,medium,golden,neutral,low,STABLE
medium,low,golden,neutral,low,STABLE
medium,low,golden,neutral,low,DOWN
medium,medium,golden,neutral,normal,DOWN
medium,high,golden,neutral,normal,UP
medium,high,golden,neutral,normal,DOWN
medium,medium,dead,neutral,normal,UP
medium,medium,dead,neutral,normal,DOWN
medium,medium,dead,neutral,normal,STABLE
medium,medium,dead,neutral,normal,DOWN
low,high,dead,neutral,normal,STABLE
low,high,dead,neutral,normal,STABLE
low,medium,dead,neutral,normal,STABLE
medium,medium,dead,neutral,normal,DOWN
low,high,dead,neutral,high,STABLE
low,high,dead,neutral,high,DOWN
low,high,dead,oversold,normal,DOWN
very_low,high,dead,oversold,high,DOWN
very_low,high,dead,oversold,high,DOWN
very_low,high,dead,oversold,high,STABLE
very_low,high,dead,oversold,normal,DOWN
very_low,high,dead,oversold,normal,UP
very_low,high,dead,oversold,normal,UP
very_low,high,dead,neutral,normal,STABLE
very_low,medium,dead,neutral,normal,STABLE
very_low,medium,dead,neutral,low,STABLE
very_low,medium,dead,neutral,low,STABLE
very_low,medium,dead,neutral,low,STABLE
very_low,medium,dead,neutral,low,STABLE
very_low,high,dead,neutral,normal,UP
low,high,dead,neutral,normal,UP
medium,high,golden,neutral,normal,STABLE
low,medium,golden,neutral,low,STABLE
low,medium,golden,neutral,low,STABLE
low,low,golden,neutral,low,DOWN
low,medium,golden,neutral,low,DOWN
low,medium,golden,neutral,low,UP
low,medium,golden,neutral,normal,STABLE
low,medium,golden,neutral,low,DOWN
low,medium,golden,neutral,normal,STABLE
low,medium,golden,neutral,low,UP
low,medium,golden,neutral,normal,DOWN
low,medium,golden,neutral,normal,DOWN
very_low,medium,dead,neutral,normal,DOWN
very_low,high,dead,neutral,high,UP
very_low,medium,dead,neutral,normal,UP
low,medium,dead,neutral,normal,DOWN
very_low,medium,dead,neutral,normal,STABLE
low,medium,dead,neutral,low,STABLE
low,low,dead,neutral,low,STABLE
low,medium,dead,neutral,normal,UP
low,medium,dead,neutral,normal,DOWN
low,medium,dead,neutral,normal,UP
low,medium,dead,neutral,normal,DOWN
very_low,high,dead,neutral,high,STABLE
very_low,medium,dead,neutral,normal,STABLE
very_low,medium,dead,neutral,normal,STABLE
very_low,medium,dead,neutral,normal,DOWN
very_low,medium,dead,neutral,normal,UP
very_low,medium,dead,neutral,normal,UP
very_low,high,dead,neutral,normal,DOWN
very_low,medium,dead,neutral,normal,UP
low,medium,dead,neutral,normal,UP
low,high,golden,neutral,normal,UP
low,medium,golden,neutral,normal,STABLE
low,medium,golden,neutral,normal,STABLE
low,medium,golden,neutral,normal,STABLE
low,medium,golden,neutral,normal,STABLE
low,medium,golden,neutral,normal,DOWN
low,medium,golden,neutral,normal,UP
low,medium,golden,neutral,low,DOWN
low,low,golden,neutral,low,STABLE
low,medium,golden,neutral,normal,STABLE
low,low,golden,neutral,low,STABLE
low,medium,golden,neutral,low,STABLE
low,low,golden,neutral,low,STABLE
low,medium,golden,neutral,normal,DOWN
very_low,high,dead,neutral,high,DOWN
very_low,medium,dead,neutral,normal,DOWN
very_low,high,dead,oversold,high,DOWN
very_low,high,dead,oversold,high,DOWN
very_low,high,dead,oversold,normal,UP
very_low,high,dead,neutral,normal,DOWN
very_low,medium,dead,oversold,normal,UP
very_low,medium,dead,neutral,normal,UP
very_low,medium,dead,neutral,normal,DOWN
very_low,high,dead,neutral,high,UP
very_low,high,dead,neutral,normal,STABLE
very_low,medium,dead,neutral,normal,DOWN
very_low,high,dead,oversold,high,STABLE
very_low,high,dead,neutral,normal,UP
very_low,high,dead,neutral,normal,STABLE
