@RELATION bitcoin_price_prediction

% 가격 데이터
@ATTRIBUTE open_price NUMERIC
@ATTRIBUTE high_price NUMERIC
@ATTRIBUTE low_price NUMERIC
@ATTRIBUTE close_price NUMERIC
@ATTRIBUTE volume NUMERIC

% 차트 패턴
@ATTRIBUTE ma_cross {golden,dead,neutral}
@ATTRIBUTE rsi_signal {overbought,oversold,neutral}
@ATTRIBUTE volume_spike {high,normal,low}

% 클래스 (1시간 후 가격 방향)
@ATTRIBUTE price_direction {UP,DOWN,STABLE}

@DATA
164347000.0,164500000.0,164000000.0,164302000.0,47.6829855,neutral,neutral,normal,UP
164346000.0,165243000.0,164000000.0,165033000.0,88.66247552,neutral,neutral,normal,UP
165033000.0,166648000.0,164646000.0,166440000.0,135.84954458,neutral,neutral,normal,STABLE
166495000.0,166801000.0,165939000.0,166230000.0,136.72802468,neutral,neutral,normal,UP
166230000.0,166870000.0,166063000.0,166867000.0,85.83363522,neutral,neutral,normal,UP
166867000.0,167468000.0,166866000.0,167409000.0,126.8221797,neutral,neutral,normal,DOWN
167410000.0,167434000.0,166429000.0,166683000.0,99.3596356,neutral,neutral,normal,STABLE
166683000.0,167047000.0,166150000.0,166605000.0,68.54492381,neutral,neutral,normal,STABLE
166617000.0,166623000.0,166104000.0,166310000.0,35.37956685,neutral,neutral,normal,STABLE
166310000.0,166593000.0,166115000.0,166135000.0,44.30853926,neutral,neutral,normal,STABLE
166116000.0,166377000.0,165860000.0,166294000.0,51.45526095,neutral,neutral,normal,STABLE
166294000.0,166688000.0,166129000.0,166280000.0,45.02087741,neutral,neutral,normal,STABLE
166270000.0,166650000.0,166000000.0,166593000.0,42.73163018,neutral,neutral,normal,STABLE
166640000.0,166766000.0,166034000.0,166690000.0,47.0930392,neutral,neutral,normal,STABLE
166690000.0,167013000.0,166371000.0,166500000.0,44.80750162,neutral,neutral,normal,STABLE
166501000.0,166950000.0,165800000.0,166505000.0,50.12757657,neutral,neutral,normal,DOWN
166500000.0,166929000.0,165500000.0,165866000.0,36.95805068,neutral,neutral,normal,UP
165977000.0,166689000.0,165854000.0,166545000.0,13.03272837,neutral,neutral,normal,DOWN
166663000.0,166681000.0,165754000.0,165934000.0,21.42962226,neutral,neutral,normal,STABLE
165931000.0,166456000.0,165720000.0,166306000.0,13.20399019,neutral,neutral,normal,STABLE
166306000.0,166574000.0,165678000.0,165848000.0,28.9099753,dead,neutral,low,STABLE
165858000.0,166189000.0,165613000.0,166080000.0,31.47422589,dead,neutral,normal,STABLE
166131000.0,166132000.0,165800000.0,165911000.0,32.09707555,dead,neutral,normal,STABLE
165911000.0,166000000.0,165323000.0,165687000.0,68.77010556,dead,neutral,normal,DOWN
165680000.0,165709000.0,164891000.0,164956000.0,76.87261443,dead,neutral,normal,STABLE
164956000.0,165130000.0,164475000.0,164703000.0,88.776345,dead,neutral,normal,DOWN
164793000.0,164899000.0,164041000.0,164082000.0,54.23702405,dead,neutral,normal,DOWN
164079000.0,164127000.0,162387000.0,162660000.0,237.65488576,dead,neutral,high,DOWN
162660000.0,163041000.0,162014000.0,162060000.0,163.3607154,dead,neutral,high,UP
162082000.0,163152000.0,162011000.0,162906000.0,77.60569595,dead,neutral,normal,STABLE
162905000.0,163350000.0,162660000.0,163201000.0,48.12748965,dead,neutral,normal,DOWN
163201000.0,163201000.0,162248000.0,162599000.0,62.00310345,dead,neutral,normal,STABLE
162599000.0,162700000.0,162350000.0,162656000.0,45.17598828,dead,neutral,normal,UP
162612000.0,163749000.0,162179000.0,163429000.0,75.06854489,dead,neutral,normal,STABLE
163528000.0,163746000.0,163021000.0,163729000.0,35.89082017,dead,neutral,normal,STABLE
163729000.0,164574000.0,163340000.0,163849000.0,81.04985484,dead,neutral,normal,STABLE
163881000.0,163952000.0,162834000.0,163498000.0,70.419626,dead,neutral,normal,UP
163500000.0,167733000.0,163446000.0,167719000.0,220.76250041,golden,neutral,high,UP
167719000.0,168900000.0,167060000.0,168566000.0,291.61408404,golden,overbought,high,DOWN
168553000.0,169336000.0,167195000.0,167213000.0,185.48658788,golden,neutral,normal,DOWN
167213000.0,167951000.0,166564000.0,166564000.0,108.60322253,golden,neutral,normal,STABLE
166564000.0,166998000.0,165911000.0,166574000.0,51.52309418,golden,neutral,low,DOWN
166569000.0,166838000.0,165771000.0,166041000.0,27.13706695,golden,neutral,low,DOWN
166040000.0,166198000.0,164800000.0,165187000.0,50.90136312,golden,neutral,low,STABLE
165172000.0,165407000.0,164330000.0,165236000.0,52.78243838,golden,neutral,normal,DOWN
165236000.0,165237000.0,162920000.0,163551000.0,145.55027339,golden,neutral,normal,STABLE
163521000.0,164050000.0,162936000.0,163400000.0,101.48376225,golden,neutral,normal,STABLE
163400000.0,163684000.0,162935000.0,163214000.0,105.22406357,dead,neutral,normal,STABLE
163148000.0,163700000.0,163059000.0,163583000.0,69.98271459,dead,neutral,normal,STABLE
163581000.0,163838000.0,163205000.0,163285000.0,50.34620677,dead,neutral,normal,STABLE
163285000.0,163400000.0,162958000.0,163307000.0,55.6890924,dead,neutral,normal,STABLE
163307000.0,163691000.0,163218000.0,163645000.0,41.65165835,dead,neutral,low,STABLE
163576000.0,163645000.0,163000000.0,163485000.0,52.03334324,dead,neutral,normal,STABLE
163485000.0,163612000.0,163092000.0,163136000.0,40.19065734,dead,neutral,low,STABLE
163136000.0,163450000.0,162748000.0,163421000.0,63.4222247,dead,neutral,normal,STABLE
163419000.0,163450000.0,163087000.0,163204000.0,27.85517224,dead,neutral,low,STABLE
163202000.0,163523000.0,163000000.0,163052000.0,39.53180433,dead,neutral,low,STABLE
163045000.0,163288000.0,162875000.0,162959000.0,43.73229912,dead,neutral,normal,STABLE
162953000.0,163771000.0,162500000.0,162799000.0,121.20956463,dead,neutral,normal,STABLE
162741000.0,163699000.0,162591000.0,163212000.0,36.72145372,dead,neutral,normal,UP
163212000.0,164406000.0,162886000.0,164000000.0,74.28160966,dead,neutral,normal,STABLE
164000000.0,164383000.0,162930000.0,164313000.0,107.74865874,dead,neutral,normal,DOWN
164315000.0,164398000.0,162968000.0,163497000.0,70.08396086,dead,neutral,normal,STABLE
163497000.0,163800000.0,162828000.0,163100000.0,43.35597432,golden,neutral,normal,STABLE
163100000.0,163249000.0,162700000.0,162901000.0,30.60195929,golden,neutral,low,STABLE
162914000.0,163601000.0,162703000.0,163225000.0,14.7017296,golden,neutral,low,STABLE
163378000.0,163599000.0,163028000.0,163255000.0,19.01580419,dead,neutral,low,STABLE
163343000.0,163597000.0,163000000.0,163221000.0,13.02192264,dead,neutral,low,STABLE
163221000.0,163373000.0,162510000.0,163297000.0,84.1269247,dead,neutral,normal,STABLE
163297000.0,163817000.0,162898000.0,162993000.0,50.74254812,dead,neutral,normal,STABLE
162993000.0,163650000.0,162992000.0,163153000.0,36.24161002,dead,neutral,normal,STABLE
163153000.0,163495000.0,163035000.0,163399000.0,39.9226044,dead,neutral,normal,UP
163399000.0,164079000.0,163321000.0,163890000.0,55.78127631,golden,neutral,normal,STABLE
163890000.0,163900000.0,163695000.0,163830000.0,29.90197901,golden,neutral,normal,STABLE
163864000.0,164250000.0,163812000.0,163814000.0,44.07297485,golden,neutral,normal,STABLE
163814000.0,164250000.0,163811000.0,164015000.0,31.57639723,golden,neutral,normal,STABLE
164014000.0,164088000.0,163579000.0,164000000.0,36.79982374,golden,neutral,normal,UP
164000000.0,165999000.0,163923000.0,165949000.0,142.69993423,golden,overbought,high,DOWN
165949000.0,165950000.0,164553000.0,164570000.0,75.72329269,golden,neutral,normal,STABLE
164570000.0,165346000.0,164540000.0,164900000.0,40.36902049,golden,neutral,normal,STABLE
164900000.0,164934000.0,164420000.0,164721000.0,29.41443291,golden,neutral,normal,STABLE
164721000.0,165122000.0,164626000.0,164734000.0,27.24422243,golden,neutral,normal,DOWN
164730000.0,164843000.0,164195000.0,164238000.0,43.81169199,golden,neutral,normal,STABLE
164238000.0,164279000.0,163700000.0,164250000.0,54.25545652,golden,neutral,normal,UP
164245000.0,164932000.0,163850000.0,164800000.0,65.15748692,golden,neutral,normal,STABLE
164862000.0,165202000.0,163816000.0,164900000.0,80.20234766,golden,neutral,normal,STABLE
164901000.0,165394000.0,164704000.0,165024000.0,49.12678654,golden,neutral,normal,STABLE
165108000.0,165700000.0,164836000.0,165396000.0,37.22680795,golden,neutral,normal,UP
165397000.0,166385000.0,164641000.0,166357000.0,56.42455273,golden,neutral,normal,DOWN
166347000.0,166400000.0,165401000.0,165827000.0,39.05586865,golden,neutral,normal,STABLE
165770000.0,165899000.0,165337000.0,165557000.0,14.52035262,golden,neutral,low,DOWN
165465000.0,165543000.0,164412000.0,164688000.0,26.22159405,golden,neutral,normal,STABLE
164606000.0,165120000.0,164571000.0,165071000.0,21.44489791,golden,neutral,low,STABLE
165061000.0,165828000.0,165001000.0,165556000.0,35.57300033,golden,neutral,normal,STABLE
165526000.0,165574000.0,165330000.0,165546000.0,42.67731852,golden,neutral,normal,UP
165546000.0,166496000.0,165476000.0,166433000.0,75.95401797,golden,neutral,normal,STABLE
166430000.0,166771000.0,166183000.0,166770000.0,85.88152871,golden,neutral,normal,STABLE
166730000.0,166840000.0,166400000.0,166597000.0,60.15828134,golden,neutral,normal,STABLE
166574000.0,166605000.0,166000000.0,166098000.0,55.53911654,golden,neutral,normal,STABLE
166090000.0,166987000.0,165981000.0,166580000.0,78.69150365,golden,neutral,normal,STABLE
166558000.0,166677000.0,166250000.0,166543000.0,50.94543027,golden,neutral,normal,STABLE
166543000.0,166849000.0,166300000.0,166656000.0,78.3765873,golden,neutral,normal,STABLE
166658000.0,166747000.0,166097000.0,166397000.0,70.28491604,golden,neutral,normal,STABLE
166341000.0,166501000.0,165960000.0,166416000.0,50.11727299,golden,neutral,normal,STABLE
166416000.0,166799000.0,166250000.0,166619000.0,40.51513043,golden,neutral,normal,STABLE
166619000.0,166619000.0,166180000.0,166300000.0,37.98985509,golden,neutral,normal,STABLE
166279000.0,166300000.0,165750000.0,166242000.0,75.58793921,golden,neutral,normal,STABLE
166242000.0,167381000.0,165905000.0,166570000.0,186.78474171,golden,neutral,high,DOWN
166542000.0,166696000.0,165444000.0,165803000.0,132.70129788,golden,neutral,high,DOWN
165777000.0,165803000.0,164420000.0,165084000.0,155.56672417,dead,neutral,high,STABLE
165084000.0,165753000.0,164826000.0,165184000.0,42.09480117,dead,neutral,normal,STABLE
165125000.0,165184000.0,164800000.0,165130000.0,26.85058135,dead,neutral,low,STABLE
165146000.0,165614000.0,165130000.0,165311000.0,18.39754486,dead,neutral,low,STABLE
165311000.0,165619000.0,165199000.0,165547000.0,11.51732051,dead,neutral,low,STABLE
165547000.0,165699000.0,165153000.0,165278000.0,13.78830849,dead,neutral,low,STABLE
165278000.0,165750000.0,165150000.0,165511000.0,17.06315861,dead,neutral,low,STABLE
165469000.0,165775000.0,165235000.0,165753000.0,22.00420048,dead,neutral,low,STABLE
165753000.0,165838000.0,165654000.0,165782000.0,20.32148324,dead,neutral,low,STABLE
165782000.0,165849000.0,165681000.0,165703000.0,32.96313112,dead,neutral,normal,STABLE
165703000.0,165822000.0,165331000.0,165530000.0,37.9896545,dead,neutral,normal,UP
165530000.0,166100000.0,165518000.0,166097000.0,37.00779208,dead,neutral,normal,STABLE
166097000.0,166175000.0,165792000.0,165793000.0,32.02603793,dead,neutral,normal,STABLE
165793000.0,166150000.0,165792000.0,166108000.0,26.98491736,golden,neutral,normal,STABLE
166108000.0,166400000.0,166000000.0,166140000.0,23.86082144,golden,neutral,low,STABLE
166141000.0,166241000.0,165935000.0,166208000.0,25.97729814,golden,neutral,normal,STABLE
166208000.0,166305000.0,165990000.0,166176000.0,16.98486169,golden,neutral,low,STABLE
166176000.0,166631000.0,166098000.0,166357000.0,46.55939105,golden,neutral,normal,STABLE
166358000.0,166720000.0,166357000.0,166712000.0,25.38353442,golden,neutral,normal,STABLE
166707000.0,166830000.0,166501000.0,166502000.0,29.17020406,golden,neutral,normal,STABLE
166502000.0,166725000.0,166396000.0,166667000.0,28.7582247,golden,neutral,normal,STABLE
166667000.0,166700000.0,166417000.0,166474000.0,28.58078314,golden,neutral,normal,STABLE
166474000.0,166780000.0,166424000.0,166780000.0,28.13626097,golden,neutral,normal,STABLE
166781000.0,166849000.0,166410000.0,166430000.0,40.00792408,golden,neutral,normal,STABLE
166479000.0,166650000.0,166226000.0,166383000.0,34.22358684,golden,neutral,normal,STABLE
166382000.0,166382000.0,166000000.0,166001000.0,25.52327208,golden,neutral,normal,STABLE
166001000.0,166250000.0,165850000.0,166246000.0,22.50660178,golden,neutral,normal,STABLE
166246000.0,166248000.0,166152000.0,166248000.0,0.00431072,golden,neutral,low,STABLE
166248000.0,166330000.0,166095000.0,166310000.0,5.60436575,dead,neutral,low,STABLE
166330000.0,166770000.0,166297000.0,166691000.0,44.26901129,golden,neutral,normal,STABLE
166691000.0,166727000.0,166550000.0,166678000.0,25.94696596,golden,neutral,normal,STABLE
166678000.0,166678000.0,166339000.0,166339000.0,21.92409846,golden,neutral,normal,STABLE
166339000.0,166567000.0,166214000.0,166214000.0,22.34189521,golden,neutral,normal,STABLE
166215000.0,166400000.0,166104000.0,166334000.0,18.73220389,golden,neutral,normal,STABLE
166334000.0,166512000.0,166262000.0,166429000.0,14.63506528,dead,neutral,normal,STABLE
166405000.0,166476000.0,166293000.0,166324000.0,14.53240319,dead,neutral,normal,STABLE
166324000.0,166447000.0,166320000.0,166367000.0,9.22050167,dead,neutral,low,STABLE
166368000.0,166505000.0,166367000.0,166422000.0,17.27635047,dead,neutral,normal,UP
166422000.0,167603000.0,166366000.0,167229000.0,133.26787062,golden,neutral,high,STABLE
167232000.0,167283000.0,167000000.0,167282000.0,46.37204426,golden,neutral,normal,UP
167283000.0,168550000.0,167282000.0,168388000.0,145.66778241,golden,overbought,high,STABLE
168395000.0,169050000.0,168388000.0,168789000.0,185.24904075,golden,overbought,high,STABLE
168788000.0,168957000.0,168250000.0,168640000.0,91.3877129,golden,overbought,normal,STABLE
168639000.0,168800000.0,168222000.0,168295000.0,55.06448226,golden,neutral,normal,STABLE
168295000.0,168616000.0,168000000.0,168616000.0,37.57204847,golden,overbought,normal,STABLE
168600000.0,168800000.0,168203000.0,168500000.0,32.27317037,golden,neutral,normal,STABLE
168500000.0,168780000.0,168397000.0,168525000.0,10.09085051,golden,neutral,low,STABLE
168555000.0,168744000.0,168470000.0,168601000.0,6.08026172,golden,overbought,low,STABLE
168602000.0,168728000.0,168473000.0,168477000.0,11.80997293,golden,neutral,low,STABLE
168477000.0,168508000.0,168243000.0,168260000.0,19.45375164,golden,neutral,low,STABLE
168260000.0,168329000.0,167800000.0,168261000.0,45.27354331,golden,neutral,normal,UP
168261000.0,170000000.0,168260000.0,169758000.0,186.40808529,golden,overbought,high,STABLE
169706000.0,169958000.0,169457000.0,169514000.0,103.07487655,golden,overbought,normal,UP
169514000.0,170460000.0,169507000.0,170029000.0,179.71143022,golden,overbought,high,UP
170029000.0,170750000.0,170000000.0,170716000.0,70.89058998,golden,overbought,normal,DOWN
170716000.0,170865000.0,170028000.0,170159000.0,103.26161351,golden,neutral,normal,STABLE
170158000.0,170400000.0,169827000.0,169831000.0,76.76336615,golden,neutral,normal,STABLE
169828000.0,170390000.0,169824000.0,170333000.0,47.68513461,golden,neutral,normal,STABLE
170333000.0,170629000.0,170333000.0,170501000.0,48.10389336,golden,neutral,normal,UP
170500000.0,171168000.0,170370000.0,171168000.0,81.41728931,golden,overbought,normal,DOWN
171167000.0,171500000.0,170545000.0,170584000.0,97.63628281,golden,neutral,normal,DOWN
170590000.0,170730000.0,169542000.0,169673000.0,109.42579232,golden,neutral,normal,STABLE
169673000.0,170271000.0,169100000.0,170090000.0,113.28015648,golden,neutral,normal,UP
170080000.0,170854000.0,169999000.0,170716000.0,54.7961226,golden,neutral,normal,STABLE
170711000.0,170784000.0,170333000.0,170474000.0,45.18889902,golden,neutral,normal,DOWN
170474000.0,170500000.0,169700000.0,169704000.0,64.44214369,golden,neutral,normal,UP
